Cell,Raw reads,Clean reads,Aligned reads,Mapping rate,Gene number,Transcript number,Cluster
OA10_S0.14,1063236,1060900,683202,64.40%,4019,195094,EC
OA10_S0.15,682206,676144,180260,26.70%,2325,44779,
OA10_S0.16,815520,813020,79867,9.80%,1053,2731,
OA10_S0.17,1652360,1635410,952823,58.30%,5342,317561,EC
OA10_S0.18,792414,790411,426468,54.00%,4314,130700,EC
OA10_S0.19,479748,468559,145473,31.00%,1898,40680,HTC
OA10_S0.20,517590,511552,173432,33.90%,4221,71126,EC
OA10_S0.21,381958,380944,246329,64.70%,3182,91521,EC
OA10_S0.22,2161531,2160001,1643721,76.10%,5693,391117,HomC
OA10_S0.23,194825,184435,13589,7.40%,1831,8101,
OA10_S0.24,590537,589818,366100,62.10%,3586,124118,HomC
OA10_S0.25,749388,744274,461324,62.00%,3621,199527,EC
OA10_S0.26,1115995,1112006,731917,65.80%,4423,227230,EC
OA10_S0.27,1028585,1026599,644931,62.80%,4039,182909,EC
OA10_S0.28,516728,509712,282111,55.30%,3504,85373,EC
OA10_S0.29,1211911,1205760,811179,67.30%,5038,190945,EC
OA10_S0.30,1702803,1686693,1169622,69.30%,4531,411034,EC
OA10_S0.31,161561,160970,56850,35.30%,1964,14454,RegC
OA10_S0.32,1010583,1009467,701555,69.50%,3768,185610,EC
OA10_S1.1,668124,667428,411892,61.70%,3753,145104,EC
OA10_S1.2,644867,644536,389456,60.40%,3205,113326,HomC
OA10_S1.3,1140341,1135703,487779,42.90%,3850,135026,EC
OA10_S1.4,826096,824375,500167,60.70%,4872,166554,EC
OA10_S1.5,4410,4369,1812,41.50%,241,490,
OA10_S1.6,445645,444556,268567,60.40%,2581,77413,RegC
OA10_S1.7,61315,60674,16216,26.70%,512,3009,
OA10_S1.8,1226290,1223928,781714,63.90%,4186,286675,EC
OA10_S1.9,997285,996054,606525,60.90%,4549,259522,HomC
OA10_S1.10,677567,674764,397945,59.00%,3239,162625,ProC
OA10_S1.11,600836,598343,343124,57.30%,2953,113330,EC
OA10_S1.12,134514,130495,51249,39.30%,1302,17423,HomC
OA10_S1.13,127415,126464,31685,25.10%,554,1254,
OA10_S1.14,307974,307117,159777,52.00%,3244,53814,EC
OA10_S1.15,564216,562760,330882,58.80%,2235,71538,HTC
OA10_S1.16,549032,548016,363506,66.30%,2574,99877,RegC
OA10_S1.17,1715917,1711863,1015214,59.30%,4589,225211,RegC
OA10_S1.18,1485953,1483051,861605,58.10%,3915,351711,preHTC
OA10_S1.19,1766810,1764019,1025234,58.10%,5418,338311,EC
OA10_S1.20,1326142,1324354,852581,64.40%,4276,246117,RegC
OA10_S1.21,1596831,1594174,611288,38.30%,5174,234988,EC
OA10_S1.22,1926240,1924925,1265754,65.80%,4545,281917,EC
OA10_S1.23,1438308,1436032,904430,63.00%,4206,307412,preHTC
OA10_S1.24,208114,204567,72537,35.50%,2384,23020,RegC
OA10_S1.25,1463179,1459186,859039,58.90%,5128,311914,EC
OA10_S1.26,854281,852116,548661,64.40%,3236,145760,RegC
OA10_S1.27,1941722,1939332,1125688,58.00%,6430,335827,preHTC
OA10_S1.28,2809077,2807447,1563492,55.70%,5626,229351,HomC
OA10_S1.29,2436899,2431163,1510295,62.10%,5789,490123,EC
OA10_S1.30,1185476,1183610,757110,64.00%,4193,241676,ProC
OA10_S1.31,3239476,3232240,2160596,66.80%,6345,636795,EC
OA10_S1.32,1729917,1728675,1187879,68.70%,5093,315323,EC
OA10_S2.1,4041693,4038921,2409196,59.60%,6269,738164,EC
OA10_S2.2,1827782,1820436,1053014,57.80%,4926,351157,HomC
OA10_S2.3,2701187,2698478,1737848,64.40%,5615,544539,EC
OA10_S2.4,1368229,1365845,894253,65.50%,3920,264206,RegC
OA10_S2.5,767115,758195,483276,63.70%,3954,206449,preHTC
OA10_S2.6,2144118,2141699,1318095,61.50%,4629,317803,preHTC
OA10_S2.7,1394348,1393551,982427,70.50%,4145,328335,EC
OA10_S2.8,1007581,1004997,652905,65.00%,4742,284314,EC
OA10_S2.9,230400,229416,134181,58.50%,4064,75417,EC
OA10_S2.10,865987,862342,570396,66.10%,3780,250405,ProC
OA10_S2.11,2368971,2366331,1619345,68.40%,6745,496142,EC
OA10_S2.12,471248,438228,198141,45.20%,3421,85445,ProC
OA10_S2.13,1784038,1780694,1132473,63.60%,4755,551442,EC
OA10_S2.14,756191,754539,498370,66.00%,5703,279128,HomC
OA10_S2.15,4416963,4413839,2626812,59.50%,6339,880146,EC
OA10_S2.16,3783159,3780138,2327540,61.60%,6243,797800,preHTC
OA10_S2.17,4373455,4364215,2479592,56.80%,7206,738332,EC
OA10_S2.18,601446,600261,222818,37.10%,3179,105332,preHTC
OA10_S2.19,1128992,1128481,764265,67.70%,3652,216254,EC
OA10_S2.20,1241994,1240704,730872,58.90%,4027,192993,ProC
OA10_S2.21,270895,269146,160684,59.70%,3962,93893,EC
OA10_S2.22,2522644,2521414,1669850,66.20%,4951,484564,HomC
OA10_S2.23,1125126,1120112,768900,68.60%,5494,298181,HomC
OA10_S2.24,505740,505169,125694,24.90%,3256,29065,
OA10_S2.25,2200097,2199037,1531547,69.60%,4933,643170,EC
OA10_S2.26,1636588,1634218,877439,53.70%,5206,363431,EC
OA10_S2.27,1149423,1148256,761154,66.30%,4017,220932,ProC
OA10_S2.28,1306338,1303313,750937,57.60%,4483,259432,EC
OA10_S2.29,371124,370252,220794,59.60%,2972,84014,EC
OA10_S2.30,1261299,1254918,730440,58.20%,3932,223526,HomC
OA10_S2.31,748672,747353,412449,55.20%,3175,97618,EC
OA10_S2.32,1595759,1593137,950555,59.70%,4899,454719,ProC
OA10_S3.1,1775426,1774032,1042799,58.80%,4386,325440,ProC
OA10_S3.2,1358775,1357688,816797,60.20%,3675,227336,preHTC
OA10_S3.3,1632163,1629433,1021190,62.70%,4434,309053,ProC
OA10_S3.4,650951,649476,395153,60.80%,3882,186177,ProC
OA10_S3.5,653686,652285,345558,53.00%,3519,156210,preHTC
OA10_S3.6,338836,338172,188904,55.90%,2987,93570,ProC
OA10_S3.7,721475,719815,436931,60.70%,3682,234806,ProC
OA10_S3.8,359621,358941,193103,53.80%,3215,87758,ProC
OA10_S3.9,2117763,2116337,1320955,62.40%,5785,697938,ProC
OA10_S3.10,1230262,1229332,713923,58.10%,3699,184793,HTC
OA10_S3.11,471820,470022,294438,62.60%,3122,146300,ProC
OA10_S3.12,604133,603186,374300,62.10%,4393,144473,EC
OA10_S3.13,1723203,1712695,1022825,59.70%,4628,328868,ProC
OA10_S3.14,2506314,2504901,1600129,63.90%,4889,430368,preHTC
OA10_S3.15,958845,958411,617047,64.40%,3408,167159,ProC
OA10_S3.16,646013,645343,412537,63.90%,2694,136592,ProC
OA10_S3.17,2717027,2713316,1795454,66.20%,5375,493776,ProC
OA10_S3.18,1379233,1377972,796198,57.80%,3838,216158,RegC
OA10_S3.19,1636698,1634037,1090097,66.70%,4360,352602,ProC
OA10_S3.20,220629,219264,51293,23.40%,1506,4858,
OA10_S3.21,427332,426476,275039,64.50%,3943,156984,HomC
OA10_S3.22,1375315,1374318,942101,68.60%,3905,266370,ProC
OA10_S3.23,62760,61482,17524,28.50%,1754,9969,
OA10_S3.24,654171,653590,408514,62.50%,4010,185622,ProC
OA10_S3.25,1423291,1421901,851693,59.90%,4043,307480,ProC
OA10_S3.26,1053066,1052157,670979,63.80%,3704,234851,ProC
OA10_S3.27,950130,949325,639345,67.30%,3588,208021,ProC
OA10_S3.28,443271,440178,237205,53.90%,2748,88916,RegC
OA10_S3.29,2750836,2749153,1902444,69.20%,5131,474423,preHTC
OA10_S3.30,1122056,1119519,741794,66.30%,3346,310993,ProC
OA10_S3.31,326467,326144,192767,59.10%,2469,62935,ProC
OA10_S3.32,1004799,1004130,672809,67.00%,3662,189621,ProC
OA10_S4.1,317507,317269,216257,68.20%,2460,53564,preHTC
OA10_S4.2,1534220,1532070,940377,61.40%,3955,324164,preHTC
OA10_S4.3,1310142,1308803,863632,66.00%,4638,307211,ProC
OA10_S4.4,2770045,2767403,1928777,69.70%,6010,626759,ProC
OA10_S4.5,758544,756153,474313,62.70%,4078,156687,ProC
OA10_S4.6,2197441,2195210,1538806,70.10%,5611,396788,preHTC
OA10_S4.7,3857532,3854643,2739079,71.10%,6991,892473,preHTC
OA10_S4.8,1046984,1045669,700040,66.90%,4444,258254,ProC
OA10_S4.9,205339,204954,122542,59.80%,3869,60253,ProC
OA10_S4.10,822798,821431,496761,60.50%,3417,174554,ProC
OA10_S4.11,1285768,1284576,860715,67.00%,4926,265440,ProC
OA10_S4.12,902307,888865,551310,62.00%,5360,228974,ProC
OA10_S4.13,1327102,1325233,921144,69.50%,4915,366407,ProC
OA10_S4.14,871029,869965,575387,66.10%,5278,295967,ProC
OA10_S4.15,1493746,1492435,996287,66.80%,4146,325743,ProC
OA10_S4.16,2744294,2742072,1918400,70.00%,6395,625300,preHTC
OA10_S4.17,2144145,2140728,1369409,64.00%,5573,384836,ProC
OA10_S4.18,546610,545793,322782,59.10%,4122,164303,ProC
OA10_S4.19,1467063,1465589,900134,61.40%,4854,383852,ProC
OA10_S4.20,1693153,1691666,1060713,62.70%,4885,315694,ProC
OA10_S4.21,374793,374323,239643,64.00%,3225,88893,ProC
OA10_S4.22,2012572,2010780,1363732,67.80%,4857,450886,ProC
OA10_S4.23,1265656,1263292,860097,68.10%,5298,299434,ProC
OA10_S4.24,261992,261660,168961,64.60%,3312,77374,ProC
OA10_S4.25,1242769,1241693,767930,61.80%,3780,351346,preHTC
OA10_S4.26,244660,242960,142240,58.50%,3314,89326,ProC
OA10_S4.27,1173374,1172401,759107,64.70%,4915,260706,ProC
OA10_S4.28,3371904,3368092,1555055,46.20%,6803,448112,ProC
OA10_S4.29,862170,860891,588065,68.30%,6381,335911,preHTC
OA10_S4.30,1612505,1609716,1058752,65.80%,4967,464952,preHTC
OA10_S4.31,1006772,1005253,608999,60.60%,4829,270400,ProC
OA10_S4.32,1604402,1602607,992847,62.00%,4887,477195,ProC
