id	NA18855_Strain	NA19160_Strain	NA18856_Strain
ENSG00000060642	3.92713091871313	3.73225403078555	3.58490959589602
ENSG00000204160	5.20619529361844	5.08221653262021	5.47857783946633
ENSG00000142751	4.96410385426743	4.60647497544412	4.94137813423944
ENSG00000198746	3.62401087126235	3.71172565788916	3.55486292658345
ENSG00000090273	5.53998628095454	5.48807389684	6.3715758291278
ENSG00000253368	4.38434513161022	4.6623891927252	5.5426594255768
ENSG00000158246	4.31809459627101	5.20854861224666	3.26291573976153
ENSG00000090020	6.14830347000386	6.41648936091535	6.07655439986852
ENSG00000142784	5.95334553689751	6.05408181382639	5.55849745657662
ENSG00000186501	4.90224063315835	4.89633422837778	5.22456085356259
ENSG00000142733	4.85731936009768	5.15223935397852	4.82931699843164
ENSG00000158195	5.82407458882516	5.88912664475276	6.21562271195488
ENSG00000126705	5.60493182146641	5.20981211323664	5.17170339698632
ENSG00000126709	4.94128814973454	3.65430007696664	2.52393618730936
ENSG00000009780	2.408840254256	2.88884115381751	2.43561280362243
ENSG00000117758	5.91403265694308	6.11019622476146	5.89302756298556
ENSG00000117751	5.36953434010498	5.35322547492973	5.4421941301311
ENSG00000117748	5.16369769955857	4.720688265847	4.87031744301795
ENSG00000158156	3.229339212462	3.12076674475759	3.79693036977523
ENSG00000158161	4.48587806604704	4.48040257201195	5.03198256942924
ENSG00000126698	6.30055217796366	6.58161346431605	6.12638289072521
